forename,surname,dob,nationality
Lewis,Hamilton,1/7/1985,British
David,Coulthard,3/27/1971,British
Jenson,Button,1/19/1980,British
Anthony,Davidson,4/18/1979,British
Justin,Wilson,7/31/1978,British
Eddie,Irvine,11/10/1965,British
Johnny,Herbert,6/25/1964,British
Allan,McNish,12/29/1969,British
Damon,Hill,9/17/1960,British
Martin,Brundle,6/1/1959,British
Mark,Blundell,4/8/1966,British
Nigel,Mansell,8/8/1953,British
Derek,Warwick,8/27/1954,British
Perry,McCarthy,3/3/1961,British
Julian,Bailey,10/9/1961,British
