forename,surname,nationality,,,
Lewis,Hamilton,British,,,
Kimi,RÃ¤ikkÃ¶nen,Finnish,,Row Labels,Count of forename
Felipe,Massa,Brazilian,,Australian,1
Robert,Kubica,Polish,,Austrian,1
Heikki,Kovalainen,Finnish,,Belgian,1
Sebastian,Vettel,German,,Brazilian,4
Fernando,Alonso,Spanish,,British,7
Michael,Schumacher,German,,Canadian,1
David,Coulthard,British,,Colombian,1
Mika,HÃ¤kkinen,Finnish,,Finnish,3
Rubens,Barrichello,Brazilian,,French,3
Damon,Hill,British,,German,5
Jacques,Villeneuve,Canadian,,Italian,5
Olivier,Panis,French,,Polish,1
Nigel,Mansell,British,,Spanish,1
Ayrton,Senna,Brazilian,,Grand Total,34
Gerhard,Berger,Austrian,,,
Riccardo,Patrese,Italian,,,
Jenson,Button,British,,,
Alain,Prost,French,,,
Jean,Alesi,French,,,
Johnny,Herbert,British,,,
Heinz-Harald,Frentzen,German,,,
Eddie,Irvine,British,,,
Ralf,Schumacher,German,,,
Juan,Pablo Montoya,Colombian,,,
Giancarlo,Fisichella,Italian,,,
Jarno,Trulli,Italian,,,
Thierry,Boutsen,Belgian,,,
Nelson,Piquet,Brazilian,,,
Mark,Webber,Australian,,,
Alessandro,Nannini,Italian,,,
Michele,Alboreto,Italian,,,
Nico,Rosberg,German,,,
