circuito,country,total_carreras
"Autodromo Nazionale di Monza",Italy,135
"Circuit de Monaco",Monaco,128
"Silverstone Circuit",UK,106
"Circuit de Spa-Francorchamps",Belgium,98
NÃ¼rburgring,Germany,77
Hockenheimring,Germany,70
"Red Bull Ring",Austria,69
Hungaroring,Hungary,67
"Circuit Gilles Villeneuve",Canada,64
"Circuit de Barcelona-Catalunya",Spain,63
"AutÃ³dromo JosÃ© Carlos Pace",Brazil,62
"Circuit Park Zandvoort",Netherlands,56
"Suzuka Circuit",Japan,54
"Autodromo Enzo e Dino Ferrari",Italy,49
"Albert Park Grand Prix Circuit",Australia,46
Kyalami,"South Africa",46
"AutÃ³dromo Hermanos RodrÃ­guez",Mexico,40
"Watkins Glen",USA,39
"AutÃ³dromo Juan y Oscar GÃ¡lvez",Argentina,37
"Circuit Paul Ricard",France,36
"Bahrain International Circuit",Bahrain,33
"Indianapolis Motor Speedway",USA,28
"Sepang International Circuit",Malaysia,27
"Shanghai International Circuit",China,26
Jarama,Spain,26
"Yas Marina Circuit",UAE,26
"Circuit de Nevers Magny-Cours",France,26
"Brands Hatch",UK,25
"Marina Bay Street Circuit",Singapore,24
"AutÃ³dromo do Estoril",Portugal,24
"Mosport International Raceway",Canada,19
Zolder,Belgium,18
"AutÃ³dromo Internacional Nelson Piquet",Brazil,17
"Detroit Street Circuit",USA,17
"Circuit of the Americas",USA,17
"Circuito de Jerez",Spain,16
"Long Beach",USA,15
"Adelaide Street Circuit",Australia,15
Reims-Gueux,France,15
Dijon-Prenois,France,14
"Scandinavian Raceway",Sweden,14
"Baku City Circuit",Azerbaijan,14
"Circuit Bremgarten",Switzerland,12
"Sochi Autodrom",Russia,12
"Charade Circuit",France,12
"Korean International Circuit",Korea,10
MontjuÃ¯c,Spain,10
Rouen-Les-Essarts,France,8
"Buddh International Circuit",India,7
"Istanbul Park",Turkey,7
Aintree,UK,7
Nivelles-Baulers,Belgium,7
"Phoenix street circuit",USA,6
"Okayama International Circuit",Japan,6
"Valencia Street Circuit",Spain,6
"Circuit Mont-Tremblant",Canada,6
"Prince George Circuit","South Africa",5
"Fuji Speedway",Japan,5
"Circuito da Boavista",Portugal,4
"Jeddah Corniche Circuit","Saudi Arabia",4
Zeltweg,Austria,3
"Ain Diab",Morocco,3
"AutÃ³dromo Internacional do Algarve",Portugal,3
"Losail International Circuit",Qatar,3
"Miami International Autodrome",USA,3
"Fair Park",USA,2
"Circuit de Pedralbes",Spain,2
"Pescara Circuit",Italy,2
"Le Mans",France,1
"Donington Park",UK,1
"Riverside International Raceway",USA,1
AVUS,Germany,1
"Monsanto Park Circuit",Portugal,1
"Sebring International Raceway",USA,1
"Las Vegas Street Circuit",USA,1
"Autodromo Internazionale del Mugello",Italy,1
"Las Vegas Strip Street Circuit","United States",1
