order_id,order_date,order_priority,shipping_cost
CA-2015-RH19495140-42216,7/31/2015 0:00,Critical,933.57
IN-2016-JR162107-42405,2/5/2016 0:00,Critical,923.63
IN-2016-JM156557-42549,6/28/2016 0:00,Critical,897.35
IN-2014-TS2134092-41949,11/6/2014 0:00,Critical,894.77
CA-2015-JH15985140-42031,1/27/2015 0:00,Critical,865.74
IN-2016-PF1912027-42527,6/6/2016 0:00,Critical,804.54
ES-2017-BP1118545-42947,7/31/2017 0:00,Critical,801.66
CA-2017-TB21175140-43042,11/3/2017 0:00,Critical,780.7
IN-2014-JK1532527-41760,5/1/2014 0:00,Critical,752.47
IN-2014-PB19210127-41989,12/16/2014 0:00,Critical,725.57
ES-2014-EB1411048-41711,3/13/2014 0:00,Critical,725.34
IN-2015-BP1123058-42059,2/24/2015 0:00,Critical,704.08
ES-2015-BS1136545-42202,7/17/2015 0:00,Critical,699.55
IN-2014-DP131057-41945,11/2/2014 0:00,Critical,689.8
IN-2015-SG2047058-42154,5/30/2015 0:00,Critical,625.77
IN-2015-GP1474058-42149,5/25/2015 0:00,Critical,616.27
CA-2016-JD15895140-42706,12/2/2016 0:00,Critical,594.02
ES-2016-BE1141048-42698,11/24/2016 0:00,Critical,580.98
IN-2014-RM1937558-41939,10/27/2014 0:00,Critical,573.27
ID-2015-AM1070559-42265,9/18/2015 0:00,Critical,562.14
ES-2016-NZ1856545-42706,12/2/2016 0:00,Critical,546.9
CA-2017-SV1081523-43092,12/23/2017 0:00,Critical,546.56
ES-2014-KM1666048-41859,8/8/2014 0:00,Critical,527.87
ES-2015-NM18520120-42364,12/26/2015 0:00,Critical,515.24
IN-2016-LC168857-42478,4/18/2016 0:00,Critical,511.47
CA-2014-RS19765140-41978,12/5/2014 0:00,Critical,506.49
IN-2016-VS2182027-42521,5/31/2016 0:00,Critical,504.56
ID-2016-JK153257-42715,12/11/2016 0:00,Critical,498.62
CA-2014-TC21295140-41925,10/13/2014 0:00,Critical,496.46
IN-2016-SV2081558-42699,11/25/2016 0:00,Critical,493.2
IN-2016-MM1792027-42681,11/7/2016 0:00,Critical,492.79
CA-2016-DJ13510140-42609,8/27/2016 0:00,Critical,489.6
ID-2015-AB1001527-42169,6/14/2015 0:00,Critical,487.32
CA-2017-KF16285140-42990,9/12/2017 0:00,Critical,480.56
IN-2015-LH1702027-42302,10/25/2015 0:00,Critical,479.67
CA-2015-ND18370140-42198,7/13/2015 0:00,Critical,477.15
ES-2017-RA1994545-42949,8/2/2017 0:00,Critical,472
ES-2014-DB1306048-41901,9/19/2014 0:00,Critical,471.92
CA-2016-AG10675140-42622,9/9/2016 0:00,Critical,469.16
CA-2016-TB21280140-42455,3/26/2016 0:00,Critical,457.14
ES-2016-JF15295120-42655,10/12/2016 0:00,Critical,443.92
IN-2015-NC183407-42364,12/26/2015 0:00,Critical,439.03
ID-2016-JS1603059-42491,5/1/2016 0:00,Critical,437.85
IN-2017-AG1033059-42928,7/12/2017 0:00,Critical,430.04
ES-2017-NF1847548-42979,9/1/2017 0:00,Critical,428.83
ES-2014-NB1865548-41924,10/12/2014 0:00,Critical,427.24
IN-2016-NM1844527-42531,6/10/2016 0:00,Critical,427.1
CA-2014-JG15160140-41810,6/20/2014 0:00,Critical,417.47
CA-2015-EM13810140-42201,7/16/2015 0:00,Critical,415.69
ES-2016-SC20305120-42640,9/27/2016 0:00,Critical,411.64
IN-2016-KS163007-42643,9/30/2016 0:00,Critical,410.88
CA-2016-CB12415140-42577,7/26/2016 0:00,Critical,408.79
IN-2016-BF110807-42707,12/3/2016 0:00,Critical,403.46
EG-2015-JR567038-42093,3/30/2015 0:00,Critical,399.96
CA-2017-CD11920140-43060,11/21/2017 0:00,Critical,394.57
EG-2016-MT807038-42405,2/5/2016 0:00,Critical,384.41
IN-2014-AB1010558-42000,12/27/2014 0:00,Critical,383.68
ID-2016-HJ1487527-42606,8/24/2016 0:00,Critical,382.1
ES-2015-MT1781545-42329,11/21/2015 0:00,Critical,377.03
ES-2017-FW1439545-42800,3/6/2017 0:00,Critical,376.88
IN-2014-HL150407-41967,11/24/2014 0:00,Critical,371.74
IN-2017-AP1091559-42820,3/26/2017 0:00,Critical,367.57
CA-2016-PF19225140-42678,11/4/2016 0:00,Critical,364.76
CA-2016-TG21310140-42690,11/16/2016 0:00,Critical,363.87
CM-2015-BP123022-42351,12/13/2015 0:00,Critical,359.58
IN-2014-GH1466527-41804,6/14/2014 0:00,Critical,358.85
ID-2015-PO191957-42244,8/28/2015 0:00,Critical,357.21
IN-2016-TS212057-42583,8/1/2016 0:00,Critical,356.84
CA-2016-TC21295140-42531,6/10/2016 0:00,Critical,356.68
ID-2017-VF21715102-43052,11/13/2017 0:00,Critical,350.68
IN-2016-EM1382566-42581,7/30/2016 0:00,Critical,348.48
ES-2017-MB1808545-42780,2/14/2017 0:00,Critical,344.98
IN-2015-KB1631578-42225,8/9/2015 0:00,Critical,340.09
ES-2017-AF1088545-42834,4/9/2017 0:00,Critical,338.33
CA-2015-NP18685140-42344,12/6/2015 0:00,Critical,334.26
CA-2017-RM19675140-43094,12/25/2017 0:00,Critical,334.15
ES-2017-CC1210045-42913,6/27/2017 0:00,Critical,333.02
ES-2015-BG1103544-42198,7/13/2015 0:00,Critical,332.96
ES-2017-HW1493545-43066,11/27/2017 0:00,Critical,330.51
IN-2014-AS1028558-41951,11/8/2014 0:00,Critical,330.01
IN-2016-VG2180527-42727,12/23/2016 0:00,Critical,328.35
GH-2017-JD606049-42903,6/17/2017 0:00,Critical,327.94
ES-2017-DB13210139-42895,6/9/2017 0:00,Critical,327.11
ES-2017-CS118608-43023,10/15/2017 0:00,Critical,326.35
ES-2015-CK1220564-42152,5/28/2015 0:00,Critical,325.45
ES-2016-JD16150139-42599,8/17/2016 0:00,Critical,325.32
IN-2015-JC157757-42040,2/5/2015 0:00,Critical,320.92
CA-2015-MP17470140-42289,10/12/2015 0:00,Critical,314.38
CA-2017-TB21625140-42881,5/26/2017 0:00,Critical,314.27
IN-2016-NF1847527-42472,4/12/2016 0:00,Critical,313.71
IN-2016-MR1754558-42685,11/11/2016 0:00,Critical,313.66
ID-2015-LC1705092-42290,10/13/2015 0:00,Critical,313.52
ID-2016-JE1616559-42587,8/5/2016 0:00,Critical,307.25
ES-2016-LT1676564-42678,11/4/2016 0:00,Critical,305.25
ES-2015-BF1097545-42247,8/31/2015 0:00,Critical,305.16
IN-2016-CJ1201027-42541,6/20/2016 0:00,Critical,304.95
IN-2014-DM1352558-41853,8/2/2014 0:00,Critical,296.68
CD-2016-SM1032025-42414,2/14/2016 0:00,Critical,296.08
IN-2015-PM191357-42147,5/23/2015 0:00,Critical,296.01
ES-2017-FG1426045-42884,5/29/2017 0:00,Critical,293.46
IN-2015-SV2093527-42350,12/12/2015 0:00,Critical,288.75
