product_name,Ventas_Totales,Beneficio_Total,Margen_Beneficio
"Bevis Coffee Table, Fully Assembled",511,511,100
Swingline SM12-08 MicroCut Jam Free Shredder,1080,1080,100
Lexmark MarkNet N8150 Wireless Print Server,723,723,100
"Premier Elliptical Ring Binder, Black",208,208,100
Cubify CubeX 3D Printer Triple Head Print,8000,8000,100
Acco Suede Grain Vinyl Round Ring Binder,5,5,100
Belkin F9S820V06 8 Outlet Surge,58,58,100
Wilson Jones DublLock D-Ring Binders,2,2,100
Acco D-Ring Binder w/DublLock,43,43,100
Bevis Rectangular Conference Tables,657,657,100
Contemporary Wood/Metal Frame,52,52,100
Avery Binder Labels,1,1,100
Epson Perfection V600 Photo Scanner,207,207,100
Presstex Flexible Ring Binders,6,6,100
Accohide Poly Flexible Ring Binders,3,3,100
Avery Hidden Tab Dividers for Binding Systems,2,2,100
Acco Economy Flexible Poly Round Ring Binder,3,3,100
Avery Durable Slant Ring Binders,31,31,100
Insertable Tab Indexes For Data Binders,2,2,100
Avery Hole Reinforcements,11,11,100
GBC Plasticlear Binding Covers,13,13,100
Nu-Dell EZ-Mount Plastic Wall Frames,8,8,100
Hoover Commercial Lightweight Upright Vacuum,1,1,100
Cubify CubeX 3D Printer Double Head Print,4500,4500,100
DAX Two-Tone Silver Metal Document Frame,16,16,100
Wilson Jones Custom Binder Spines & Labels,3,3,100
Okidata B401 Printer,180,180,100
Ibico Recycled Grain-Textured Covers,31,31,100
Penpower WorldCard Pro Card Scanner,91,91,100
Acco Expandable Hanging Binders,6,6,100
"Bevis Training Table, Fully Assembled",606,606,100
"Eaton Parchment Paper, Recycled",16,16,100
"Hon Conference Table, with Bottom Storage",276,276,100
"Bevis Training Table, with Bottom Storage",670,670,100
"Xerox Computer Printout Paper, Recycled",129,103,79.845
"Barricks Conference Table, Rectangular",2759,2171,78.6879
"Avery Trapezoid Extra Heavy Duty 4 Binders""""",122,88,72.1311
GBC VeloBinder Strips,53,38,71.6981
"Lesro Round Table, Fully Assembled",2720,1904,70
"Epson Calculator, Durable",141,94,66.6667
"Jiffy Clasp Envelope, Recycled",43,28,65.1163
"Chromcraft Coffee Table, Fully Assembled",769,483,62.8088
"Epson Calculator, Red",332,201,60.5422
"Smead Legal Exhibit Labels, 5000 Label Set",115,69,60
Euro Pro Shark Stick Mini Vacuum,122,73,59.8361
"Eldon Imàge Series Desk Accessories, Clear",29,17,58.6207
Zipper Ring Binder Pockets,19,11,57.8947
"Green Bar Computer Printout Paper, Premium",116,66,56.8966
Acco Translucent Poly Ring Binders,25,14,56
GBC Recycled VeloBinder Covers,60,33,55
"DAX Metal Frame, Desktop, Stepped-Edge",44,24,54.5455
"Chromcraft Coffee Table, Adjustable Height",1427,727,50.946
"Lesro Round Table, Adjustable Height",3416,1735,50.7904
"Panasonic Card Printer, White",3417,1712,50.1024
Avery Reinforcements for Hole-Punch Pages,16,8,50
"GlobeWeis Business Envelopes, Recycled",158,77,48.7342
GBC Standard Therm-A-Bind Covers,117,57,48.7179
"Hon Training Table, Rectangular",638,308,48.2759
GBC Instant Index System for Binding Systems,40,19,47.5
3M Organizer Strips,17,8,47.0588
"Enermax Message Books, 8.5 x 11",203,94,46.3054
GBC Linen Binding Covers,93,43,46.2366
GBC Standard Plastic Binding Systems Combs,26,12,46.1538
"Elite Ruler, Easy Grip",198,91,45.9596
"Enermax Parchment Paper, Multicolor",129,59,45.7364
"Barricks Training Table, with Bottom Storage",1797,821,45.6873
Balt Split Level Computer Training Table,611,278,45.4992
"Kraft Mailers, Security-Tint",537,244,45.4376
Bestar Classic Bookcase,1443,650,45.045
"Hon Conference Table, Fully Assembled",1661,738,44.4311
Catalog Binders with Expanding Posts,1090,470,43.1193
"Bevis Coffee Table, Rectangular",1474,632,42.8765
Wilson Jones Easy Flow II Sheet Lifters,7,3,42.8571
Canvas Sectional Post Binders,250,107,42.8
"Fellowes Twister Kit, Gray/Clear, 3/pkg",33,14,42.4242
"Advantus Staples, 12 Pack",19,8,42.1053
"Smead Shipping Labels, Adjustable",98,38,38.7755
"Elite Ruler, High Speed",215,83,38.6047
"Eldon Frame, Black",1457,558,38.2979
"Tenex Door Stop, Durable",645,245,37.9845
"Lesro Training Table, Rectangular",2712,1018,37.5369
"Executive Impressions 12 Wall Clock""""",56,21,37.5
"Master Caster Door Stop, Large Brown",24,9,37.5
"Motorola Office Telephone, Cordless",1352,492,36.3905
"Acme Box Cutter, Serrated",1131,411,36.3395
"Eaton Memo Slips, Premium",238,86,36.1345
"Cameo Peel and Seal, Set of 50",382,137,35.8639
GBC Durable Plastic Covers,235,84,35.7447
"Accos Staples, Bulk Pack",99,35,35.3535
Bevis Boat-Shaped Conference Table,2280,786,34.4737
"Bevis Wood Table, Fully Assembled",2065,710,34.3826
"Advantus Clamps, 12 Pack",164,56,34.1463
"Hon Conference Table, Rectangular",6485,2206,34.017
"Epson Calculator, Wireless",631,214,33.9144
"Bevis Computer Table, Fully Assembled",9823,3295,33.5437
"DAX Copper Panel Document Frame, 5 x 7 Size",75,25,33.3333
"Barricks Computer Table, Fully Assembled",7175,2366,32.9756
3M Polarizing Light Filter Sleeves,67,22,32.8358
GBC DocuBind 300 Electric Binding Machine,5944,1946,32.7389
Okidata C610n Printer,2012,649,32.2565
"Sanford Markers, Blue",499,158,31.6633
"Eldon Expressions Wood Desk Accessories, Oak",76,24,31.5789
"Jiffy Mailers, Recycled",611,191,31.2602
"Chromcraft Wood Table, Fully Assembled",2807,871,31.0296
"Dania Floating Shelf Set, Mobile",3120,963,30.8654
"Samsung Headset, Full Size",867,261,30.1038
"Acme Shears, Easy Grip",1167,349,29.9057
"Ames Business Envelopes, Set of 50",228,68,29.8246
"Samsung Signal Booster, with Caller ID",2072,615,29.6815
"Barricks Wood Table, Adjustable Height",3858,1142,29.6008
ACCOHIDE Binder by Acco,24,7,29.1667
"Logitech Mouse, Erganomic",719,209,29.0682
GBC Instant Report Kit,107,31,28.972
"Barricks Training Table, Fully Assembled",2499,719,28.7715
"StarTech Receipt Printer, Red",936,269,28.7393
"Chromcraft Coffee Table, Rectangular",741,212,28.61
