Año,Mes,Total_Pedidos,Costo_Envio_Total
2017,12,524,18491.85001528263
2017,11,469,19945.509997963905
2017,10,316,15109.950015187263
2017,9,459,18201.560003995895
2017,8,418,18701.690077900887
2017,7,218,9470.880017280579
2017,6,402,16365.150022625923
2017,5,299,11610.150043606758
2017,4,232,9133.329943060875
2017,3,262,8805.730560183525
2017,2,207,9251.689977288246
2017,1,224,10235.260065197945
2016,12,458,20901.180005431175
2016,11,459,21776.360087156296
2016,10,319,16412.50001358986
2016,9,475,18909.680086255074
2016,8,428,18581.870000720024
2016,7,257,12311.330036878586
2016,6,407,23340.169889092445
2016,5,341,16157.610029220581
2016,4,214,9054.269998669624
2016,3,227,10264.50994670391
2016,2,184,9049.469968795776
2016,1,214,11934.559957742691
2015,12,404,20875.97990846634
2015,11,438,17902.180010795593
2015,10,280,13408.113970041275
2015,9,386,13127.080019116402
2015,8,355,16977.109945058823
2015,7,187,9308.06997346878
2015,6,340,14805.960028767586
2015,5,262,12641.740101218224
2015,4,185,8834.910034060478
2015,3,200,8839.639982104301
2015,2,131,6813.830033183098
2015,1,163,7910.049966573715
2014,12,399,18214.299924254417
2014,11,358,18833.18995130062
2014,10,260,13147.430023550987
2014,9,342,17274.490014195442
2014,8,306,12338.469955325127
2014,7,177,6459.950004816055
2014,6,252,12749.78001153469
2014,5,209,9696.759947776794
2014,4,158,7123.399970173836
2014,3,185,7492.660062551498
2014,2,146,5964.149968504906
2014,1,142,6140.939934849739
